Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Attendance,Goalkeeper,Top Team Scorers,Top Team Goals
2012,0,3,24.0,8.0,5.0,0.0,3.0,8.0,6.0,2.0,15.0,16250.0,['Sergio Asenjo'],"['Raúl García', 'Diego Costa']",2.0
2011,0,3,1.0,19.0,16.0,2.0,1.0,43.0,11.0,32.0,50.0,33681.0,['Thibaut Courtois'],['Radamel Falcao'],12.0
2010,0,3,48.0,6.0,2.0,2.0,2.0,9.0,7.0,2.0,8.0,26667.0,['David de Gea'],['Sergio Agüero'],3.0
2009,0,3,1.0,9.0,3.0,5.0,1.0,11.0,9.0,2.0,14.0,51104.0,['David de Gea'],['Diego Forlán'],6.0
2009,0,2,48.0,8.0,1.0,4.0,3.0,8.0,14.0,-6.0,7.0,33543.0,['Sergio Asenjo'],['Sergio Agüero'],2.0
2008,0,2,12.0,10.0,4.0,5.0,1.0,15.0,7.0,8.0,17.0,49197.0,['Leo Franco'],"['Sergio Agüero', 'Maxi Rodríguez']",3.0
2007,0,3,24.0,10.0,7.0,2.0,1.0,23.0,6.0,17.0,23.0,51104.0,,['Sergio Agüero'],5.0
1999,0,3,93.75,8.0,5.0,1.0,2.0,17.0,11.0,6.0,16.0,51104.0,,['Jimmy Floyd Hasselbaink'],7.0
1998,0,3,3.5,10.0,7.0,0.0,3.0,19.0,12.0,7.0,21.0,51104.0,,"['Juninho Paulista', 'Roberto Fresnedoso']",4.0
1997,0,3,3.5,10.0,5.0,3.0,2.0,17.0,11.0,6.0,18.0,51104.0,,['Christian Vieri'],5.0
1996,0,2,6.0,8.0,4.0,2.0,2.0,15.0,8.0,7.0,14.0,49197.0,,['Milinko Pantić'],5.0
1993,0,3,117.1875,4.0,2.0,0.0,2.0,5.0,4.0,1.0,6.0,51104.0,,['Luis García Postigo'],2.0
1990,0,3,75.0,2.0,1.0,0.0,1.0,1.0,2.0,-1.0,3.0,51104.0,,['Juanito'],1.0
2018,5,4,2.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,36311.0,['Tomáš Vaclík'],['Pablo Sarabia'],1.0
2016,5,4,2.0,2.0,0.0,0.0,2.0,0.0,5.0,-5.0,0.0,36311.0,['Sergio Rico'],,
2023,2,0,11.0,13.0,3.0,7.0,3.0,15.0,17.0,-2.0,16.0,11546.0,['David Soria'],['Borja Mayoral'],7.0
2022,2,0,15.0,38.0,10.0,12.0,16.0,34.0,45.0,-11.0,42.0,11592.0,['David Soria'],['Enes Ünal'],14.0
2021,2,0,15.0,38.0,8.0,15.0,15.0,33.0,41.0,-8.0,39.0,8702.0,['David Soria'],['Enes Ünal'],16.0
2020,2,0,15.0,38.0,9.0,11.0,18.0,28.0,43.0,-15.0,38.0,8000.0,['David Soria'],"['Ángel Rodríguez', 'Jaime Mata']",5.0
2019,2,0,8.0,38.0,14.0,12.0,12.0,43.0,37.0,6.0,54.0,8000.0,['David Soria'],['Jaime Mata'],11.0
2018,2,0,5.0,38.0,15.0,14.0,9.0,48.0,35.0,13.0,59.0,11000.0,['David Soria'],"['Jorge Molina', 'Jaime Mata']",14.0
2017,2,0,8.0,38.0,15.0,10.0,13.0,42.0,33.0,9.0,55.0,10428.0,['Vicente Guaita'],['Ángel Rodríguez'],13.0
2016,2,6,3.0,42.0,18.0,14.0,10.0,55.0,43.0,12.0,68.0,6595.0,['Alberto García'],['Jorge Molina'],20.0
2015,2,0,19.0,38.0,9.0,9.0,20.0,37.0,67.0,-30.0,36.0,7498.0,['Vicente Guaita'],['Pablo Sarabia'],7.0
2014,2,0,15.0,38.0,10.0,7.0,21.0,33.0,64.0,-31.0,37.0,7293.0,['Vicente Guaita'],['Álvaro Vázquez'],7.0
2013,2,0,13.0,38.0,11.0,9.0,18.0,35.0,54.0,-19.0,42.0,7295.0,['Miguel Ángel Moyá'],"['Ángel Lafita', 'Pedro León']",7.0
2012,2,0,10.0,38.0,13.0,8.0,17.0,43.0,57.0,-14.0,47.0,7718.0,['Miguel Ángel Moyá'],['Diego Castro'],7.0
2011,2,0,11.0,38.0,12.0,11.0,15.0,40.0,51.0,-11.0,47.0,10736.0,['Miguel Ángel Moyá'],['Miku'],12.0
2010,2,0,16.0,38.0,12.0,8.0,18.0,49.0,60.0,-11.0,44.0,11132.0,['Jordi Codina'],['Manu del Moral'],9.0
2009,2,0,6.0,38.0,17.0,7.0,14.0,58.0,48.0,10.0,58.0,10863.0,['Jordi Codina'],['Roberto Soldado'],16.0
2008,2,0,17.0,38.0,10.0,12.0,16.0,50.0,56.0,-6.0,42.0,11026.0,['Jacobo'],['Roberto Soldado'],13.0
2007,2,0,14.0,38.0,12.0,11.0,15.0,44.0,48.0,-4.0,47.0,11120.0,['Pato Abbondanzieri'],"['Juan Ángel Albín', 'Manu del Moral']",7.0
2006,2,0,9.0,38.0,14.0,10.0,14.0,39.0,33.0,6.0,52.0,11928.0,['Pato Abbondanzieri'],['Dani Güiza'],11.0
2005,2,0,9.0,38.0,15.0,9.0,14.0,54.0,49.0,5.0,54.0,11605.0,['Luis García'],"['Veljko Paunović', 'Mariano Pernía']",10.0
2004,2,0,13.0,38.0,12.0,11.0,15.0,38.0,46.0,-8.0,47.0,13447.0,['Javier Sánchez Broto'],"['Míchel', 'Sergio Pachón']",5.0
2003,2,6,2.0,42.0,20.0,16.0,6.0,55.0,38.0,17.0,76.0,7048.0,"['Sergio Sánchez', 'Sergio Aragoneses']",['Míchel'],15.0
2002,2,6,11.0,42.0,13.0,14.0,15.0,52.0,55.0,-3.0,53.0,5324.0,['Ángel Pindado'],"['Gheorghe Craioveanu', 'Ángel Vivar Dorado']",9.0
2023,5,2,48.0,4.0,0.0,2.0,2.0,4.0,7.0,-3.0,2.0,36570.0,"['Ørjan Nyland', 'Marko Dmitrović']",['Nemanja Gudelj'],2.0
2022,5,3,1.0,9.0,4.0,3.0,2.0,14.0,8.0,6.0,15.0,34558.0,['Yassine Bounou'],['Youssef En-Nesyri'],4.0
2022,5,2,48.0,6.0,1.0,2.0,3.0,6.0,12.0,-6.0,5.0,34415.0,['Yassine Bounou'],['Youssef En-Nesyri'],2.0
2021,5,3,12.0,4.0,2.0,0.0,2.0,4.0,4.0,0.0,6.0,31550.0,['Yassine Bounou'],"['Anthony Martial', 'Lucas Ocampos']",1.0
2021,5,2,48.0,6.0,1.0,3.0,2.0,5.0,5.0,0.0,6.0,25468.0,['Yassine Bounou'],['Ivan Rakitić'],2.0
2020,5,2,12.0,8.0,4.0,2.0,2.0,13.0,13.0,0.0,14.0,38512.0,['Yassine Bounou'],['Youssef En-Nesyri'],6.0
2019,5,3,1.0,12.0,9.0,2.0,1.0,23.0,7.0,16.0,29.0,17886.0,['Yassine Bounou'],['Munir El Haddadi'],5.0
2018,5,3,12.0,10.0,6.0,1.0,3.0,26.0,12.0,14.0,19.0,31811.0,['Tomáš Vaclík'],['Wissam Ben Yedder'],8.0
2017,5,2,6.0,10.0,3.0,5.0,2.0,15.0,15.0,0.0,14.0,38512.0,['Sergio Rico'],['Wissam Ben Yedder'],8.0
2016,5,2,12.0,8.0,4.0,2.0,2.0,9.0,6.0,3.0,14.0,37433.0,['Sergio Rico'],['Wissam Ben Yedder'],2.0
2015,5,2,48.0,6.0,2.0,0.0,4.0,8.0,11.0,-3.0,6.0,37267.0,['Sergio Rico'],"['Yevhen Konoplyanka', 'Éver Banega']",2.0
2015,5,3,1.0,9.0,5.0,2.0,2.0,17.0,8.0,9.0,17.0,36079.0,['David Soria'],['Kévin Gameiro'],8.0
2014,5,3,1.0,15.0,11.0,3.0,1.0,29.0,14.0,15.0,36.0,35425.0,['Sergio Rico'],['Carlos Bacca'],7.0
2013,5,3,1.0,19.0,9.0,7.0,3.0,40.0,16.0,24.0,34.0,28135.0,['Beto'],['Kévin Gameiro'],5.0
2010,5,3,24.0,8.0,4.0,1.0,3.0,12.0,9.0,3.0,13.0,35000.0,['Andrés Palop'],['Frédéric Kanouté'],5.0
2009,5,2,12.0,8.0,4.0,3.0,1.0,13.0,7.0,6.0,15.0,39375.0,['Andrés Palop'],"['Luís Fabiano', 'Frédéric Kanouté']",2.0
2008,5,3,48.0,6.0,4.0,0.0,2.0,9.0,2.0,7.0,12.0,35000.0,,"['Frédéric Kanouté', 'Renato']",2.0
2007,5,2,12.0,10.0,8.0,0.0,2.0,25.0,13.0,12.0,24.0,38188.0,['Andrés Palop'],['Frédéric Kanouté'],5.0
2006,5,3,1.0,15.0,9.0,4.0,2.0,29.0,13.0,16.0,31.0,35000.0,,"['Frédéric Kanouté', 'Javier Chevantón']",4.0
2005,5,3,1.0,15.0,9.0,4.0,2.0,25.0,7.0,18.0,31.0,35000.0,,"['Frédéric Kanouté', 'Javier Saviola']",6.0
2004,5,3,12.0,10.0,5.0,2.0,3.0,12.0,7.0,5.0,17.0,35000.0,,['Júlio Baptista'],5.0
1995,5,3,60.0,6.0,2.0,2.0,2.0,7.0,7.0,0.0,8.0,35000.0,,['Davor Šuker'],4.0
1990,5,3,117.1875,4.0,1.0,2.0,1.0,3.0,4.0,-1.0,5.0,35000.0,,"['Pablo Bengoechea', 'Ramón Vázquez García']",1.0
2022,3,5,1.0,6.0,5.0,0.0,1.0,13.0,5.0,8.0,15.0,61193.0,['Thibaut Courtois'],"['Karim Benzema', 'Rodrygo']",4.0
2021,3,5,6.0,3.0,2.0,0.0,1.0,5.0,3.0,2.0,6.0,64012.0,['Andriy Lunin'],"['Eden Hazard', 'Éder Militão']",1.0
2020,3,5,17.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,64012.0,['Andriy Lunin'],['Éder Militão'],1.0
2019,3,5,5.0,3.0,2.0,0.0,1.0,10.0,5.0,5.0,6.0,64012.0,['Alphonse Areola'],"['Lucas Vázquez', 'Raphaël Varane']",1.0
2018,3,5,3.0,8.0,5.0,1.0,2.0,21.0,9.0,12.0,16.0,11058.0,['Keylor Navas'],['Karim Benzema'],4.0
2017,3,5,5.0,6.0,3.0,2.0,1.0,11.0,6.0,5.0,11.0,12518.0,['Kiko Casilla'],"['Lucas Vázquez', 'Borja Mayoral']",3.0
2016,3,5,5.0,6.0,3.0,2.0,1.0,22.0,9.0,13.0,11.0,61607.0,['Kiko Casilla'],['Mariano'],4.0
2015,3,5,17.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,40500.0,['Kiko Casilla'],['Isco'],2.0
2014,3,5,9.0,4.0,2.0,1.0,1.0,11.0,5.0,6.0,7.0,40500.0,['Keylor Navas'],"['Raphaël Varane', 'James Rodríguez']",2.0
2023,1,4,,0.0,0.0,0.0,0.0,,,,0.0,58410.0,,,
2022,1,4,,,,,,,,,,58410.0,['Marc-André ter Stegen'],['Robert Lewandowski'],2.0
2021,1,4,,1.0,0.0,0.0,1.0,2.0,3.0,-1.0,0.0,58410.0,['Marc-André ter Stegen'],"['Luuk de Jong', 'Ansu Fati']",1.0
2020,1,4,1.5,2.0,0.0,1.0,1.0,3.0,4.0,-1.0,1.0,58410.0,['Marc-André ter Stegen'],['Antoine Griezmann'],2.0
2019,1,4,3.5,1.0,0.0,0.0,1.0,2.0,3.0,-1.0,0.0,58410.0,['Neto'],"['Lionel Messi', 'Antoine Griezmann']",1.0
2018,1,4,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,71803.0,['Marc-André ter Stegen'],"['Gerard Piqué', 'Ousmane Dembélé']",1.0
2017,1,4,2.0,2.0,0.0,0.0,2.0,1.0,5.0,-4.0,0.0,71803.0,['Marc-André ter Stegen'],['Lionel Messi'],1.0
2016,1,4,1.0,2.0,2.0,0.0,0.0,5.0,0.0,5.0,6.0,71803.0,['Claudio Bravo'],['Arda Turan'],2.0
2015,1,4,2.0,2.0,0.0,1.0,1.0,1.0,5.0,-4.0,1.0,88834.0,"['Claudio Bravo', 'Marc-André ter Stegen']",['Lionel Messi'],1.0
2023,0,4,,0.0,0.0,0.0,0.0,,,,0.0,,,,
2021,0,4,,1.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,,['Jan Oblak'],,
2019,0,4,1.5,2.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0,,['Jan Oblak'],"['Koke', 'Álvaro Morata']",1.0
2022,3,1,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,31042.0,['Thibaut Courtois'],"['David Alaba', 'Karim Benzema']",1.0
2018,3,1,2.0,1.0,0.0,0.0,1.0,2.0,4.0,-2.0,0.0,17939.0,['Keylor Navas'],"['Sergio Ramos', 'Karim Benzema']",1.0
2017,3,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,17939.0,['Keylor Navas'],"['Isco', 'Casemiro']",1.0
2016,3,1,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,3.0,17939.0,['Kiko Casilla'],"['Sergio Ramos', 'Dani Carvajal']",1.0
2014,3,1,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,17939.0,['Iker Casillas'],['Cristiano Ronaldo'],2.0
2002,3,1,1.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,17939.0,,,
2000,3,1,2.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,17939.0,,,
2021,7,1,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,['Sergio Asenjo'],['Gerard Moreno'],1.0
2022,6,4,,,,,,,,,,40877.0,['Giorgi Mamardashvili'],['Samuel Lino'],1.0
2019,6,4,3.5,1.0,0.0,0.0,1.0,1.0,3.0,-2.0,0.0,40877.0,['Jaume Doménech'],['Daniel Parejo'],1.0
2023,4,2,48.0,4.0,3.0,1.0,0.0,7.0,2.0,5.0,10.0,36703.0,['Álex Remiro'],['Brais Méndez'],3.0
2022,4,3,12.0,8.0,5.0,1.0,2.0,10.0,4.0,6.0,16.0,31548.0,['Álex Remiro'],"['Alexander Sørloth', 'Brais Méndez']",2.0
2021,4,3,146.484375,8.0,2.0,4.0,2.0,12.0,11.0,1.0,10.0,25957.0,['Álex Remiro'],"['Alexander Isak', 'Mikel Oyarzabal']",3.0
2020,4,3,24.0,8.0,2.0,4.0,2.0,5.0,8.0,-3.0,10.0,26957.0,['Álex Remiro'],['Jon Bautista'],2.0
2017,4,3,24.0,8.0,4.0,1.0,3.0,19.0,10.0,9.0,13.0,26957.0,['Gerónimo Rulli'],['Willian José'],5.0
2013,4,2,48.0,8.0,1.0,2.0,5.0,5.0,10.0,-5.0,5.0,28300.0,['Claudio Bravo'],['Carlos Vela'],1.0
2003,4,2,12.0,8.0,2.0,3.0,3.0,8.0,10.0,-2.0,9.0,29148.0,['Sander Westerveld'],['Darko Kovačević'],2.0
1998,4,3,60.0,6.0,5.0,0.0,1.0,14.0,9.0,5.0,15.0,26957.0,,['Darko Kovačević'],8.0
1992,4,3,75.0,2.0,1.0,0.0,1.0,2.0,3.0,-1.0,3.0,26957.0,,"['Miguel Fuentes', 'José María Lumbreras']",1.0
1990,4,3,117.1875,4.0,2.0,0.0,2.0,4.0,4.0,0.0,6.0,26957.0,,"['José María Lumbreras', 'Agustín Gajate']",1.0
2004,6,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,,,,
2023,3,0,2.0,13.0,10.0,2.0,1.0,28.0,9.0,19.0,32.0,69236.0,['Kepa Arrizabalaga'],['Jude Bellingham'],10.0
2022,3,0,2.0,38.0,24.0,6.0,8.0,75.0,36.0,39.0,78.0,56649.0,['Thibaut Courtois'],['Karim Benzema'],19.0
2021,3,0,1.0,38.0,26.0,8.0,4.0,80.0,31.0,49.0,86.0,41235.0,['Thibaut Courtois'],['Karim Benzema'],27.0
2020,3,0,2.0,38.0,25.0,9.0,4.0,67.0,28.0,39.0,84.0,45833.0,['Thibaut Courtois'],['Karim Benzema'],23.0
2019,3,0,1.0,38.0,26.0,9.0,3.0,70.0,25.0,45.0,87.0,45833.0,['Thibaut Courtois'],['Karim Benzema'],21.0
2018,3,0,3.0,38.0,21.0,5.0,12.0,63.0,46.0,17.0,68.0,61040.0,['Thibaut Courtois'],['Karim Benzema'],21.0
2017,3,0,3.0,38.0,22.0,10.0,6.0,94.0,44.0,50.0,76.0,66863.0,['Keylor Navas'],['Cristiano Ronaldo'],26.0
2016,3,0,1.0,38.0,29.0,6.0,3.0,106.0,41.0,65.0,93.0,71977.0,['Keylor Navas'],['Cristiano Ronaldo'],25.0
2015,3,0,2.0,38.0,28.0,6.0,4.0,110.0,34.0,76.0,90.0,71265.0,['Keylor Navas'],['Cristiano Ronaldo'],35.0
2014,3,0,2.0,38.0,30.0,2.0,6.0,118.0,38.0,80.0,92.0,73918.0,['Iker Casillas'],['Cristiano Ronaldo'],48.0
2013,3,0,3.0,38.0,27.0,6.0,5.0,104.0,38.0,66.0,87.0,71558.0,['Diego López'],['Cristiano Ronaldo'],31.0
2012,3,0,2.0,38.0,26.0,7.0,5.0,103.0,42.0,61.0,85.0,68526.0,['Iker Casillas'],['Cristiano Ronaldo'],34.0
2011,3,0,1.0,38.0,32.0,4.0,2.0,121.0,32.0,89.0,100.0,74836.0,['Iker Casillas'],['Cristiano Ronaldo'],46.0
2010,3,0,2.0,38.0,29.0,5.0,4.0,102.0,33.0,69.0,92.0,71289.0,['Iker Casillas'],['Cristiano Ronaldo'],40.0
2009,3,0,2.0,38.0,31.0,3.0,4.0,102.0,35.0,67.0,96.0,74316.0,['Iker Casillas'],['Gonzalo Higuaín'],27.0
2008,3,0,2.0,38.0,25.0,3.0,10.0,83.0,52.0,31.0,78.0,70816.0,['Iker Casillas'],['Gonzalo Higuaín'],22.0
2007,3,0,1.0,38.0,27.0,4.0,7.0,84.0,36.0,48.0,85.0,64426.0,['Iker Casillas'],['Raúl'],18.0
2006,3,0,1.0,38.0,23.0,7.0,8.0,66.0,40.0,26.0,76.0,68846.0,['Iker Casillas'],['Ruud van Nistelrooy'],25.0
2005,3,0,2.0,38.0,20.0,10.0,8.0,70.0,40.0,30.0,70.0,47388.0,['Iker Casillas'],['Ronaldo'],14.0
2004,3,0,2.0,38.0,25.0,5.0,8.0,71.0,32.0,39.0,80.0,68883.0,['Iker Casillas'],['Ronaldo'],21.0
2003,3,0,4.0,38.0,21.0,7.0,10.0,72.0,54.0,18.0,70.0,68892.0,['Iker Casillas'],['Ronaldo'],24.0
2002,3,0,1.0,38.0,22.0,12.0,4.0,86.0,42.0,44.0,78.0,70921.0,['Iker Casillas'],['Ronaldo'],23.0
2001,3,0,3.0,38.0,19.0,9.0,10.0,69.0,44.0,25.0,66.0,63645.0,['Iker Casillas'],['Fernando Morientes'],18.0
2000,3,0,1.0,38.0,24.0,8.0,6.0,81.0,40.0,41.0,80.0,64475.0,['Iker Casillas'],['Raúl'],24.0
1999,3,0,5.0,38.0,16.0,14.0,8.0,58.0,48.0,10.0,62.0,73875.0,['Iker Casillas'],['Raúl'],17.0
1998,3,0,2.0,38.0,21.0,5.0,12.0,77.0,62.0,15.0,68.0,73875.0,,['Raúl'],25.0
1997,3,0,4.0,38.0,17.0,12.0,9.0,63.0,45.0,18.0,63.0,73875.0,,['Fernando Morientes'],12.0
1996,3,0,1.0,42.0,27.0,11.0,4.0,85.0,36.0,49.0,92.0,73875.0,,['Davor Šuker'],24.0
1995,3,0,6.0,42.0,20.0,10.0,12.0,75.0,51.0,24.0,70.0,73875.0,,['Raúl'],19.0
1994,3,0,1.0,38.0,23.0,9.0,6.0,76.0,29.0,47.0,55.0,73875.0,,['Iván Zamorano'],28.0
1993,3,0,4.0,38.0,19.0,7.0,12.0,61.0,50.0,11.0,45.0,73875.0,,"['Iván Zamorano', 'Míchel']",11.0
1992,3,0,2.0,38.0,24.0,9.0,5.0,75.0,28.0,47.0,57.0,73875.0,,['Iván Zamorano'],26.0
1991,3,0,2.0,38.0,23.0,8.0,7.0,78.0,32.0,46.0,54.0,73875.0,,['Fernando Hierro'],21.0
1990,3,0,3.0,38.0,20.0,6.0,12.0,63.0,37.0,26.0,46.0,73875.0,,['Emilio Butragueño'],19.0
1989,3,0,1.0,38.0,26.0,10.0,2.0,107.0,38.0,69.0,62.0,73875.0,,['Hugo Sánchez'],38.0
1988,3,0,1.0,38.0,25.0,12.0,1.0,91.0,37.0,54.0,62.0,73875.0,,['Hugo Sánchez'],27.0
2023,7,3,48.0,3.0,2.0,0.0,1.0,3.0,3.0,0.0,6.0,17458.0,['Pepe Reina'],['Alexander Sørloth'],2.0
2021,7,2,3.5,12.0,5.0,3.0,4.0,20.0,16.0,4.0,18.0,18610.0,['Gerónimo Rulli'],['Arnaut Danjuma'],6.0
2020,7,3,1.0,15.0,12.0,3.0,0.0,31.0,9.0,22.0,39.0,1569.0,['Gerónimo Rulli'],['Gerard Moreno'],7.0
2018,7,3,6.0,12.0,5.0,5.0,2.0,20.0,13.0,7.0,20.0,14796.0,['Andrés Fernández'],['Gerard Moreno'],4.0
2017,7,3,24.0,8.0,3.0,2.0,3.0,11.0,10.0,1.0,11.0,15855.0,['Mariano Barbosa'],['Cédric Bakambu'],3.0
2016,7,3,24.0,8.0,3.0,3.0,2.0,10.0,12.0,-2.0,12.0,17300.0,['Andrés Fernández'],"['Alexandre Pato', 'Rafael Borré']",2.0
2015,7,3,3.5,14.0,9.0,3.0,2.0,23.0,13.0,10.0,30.0,16796.0,['Mariano Barbosa'],['Cédric Bakambu'],9.0
2014,7,3,12.0,12.0,7.0,2.0,3.0,29.0,14.0,15.0,23.0,15110.0,['Sergio Asenjo'],['Luciano Vietto'],6.0
2011,7,2,48.0,8.0,0.0,1.0,7.0,5.0,15.0,-10.0,1.0,17959.0,['Diego López'],"['Cani', 'Jonathan de Guzmán']",1.0
2010,7,3,3.5,16.0,9.0,4.0,3.0,34.0,19.0,15.0,31.0,19442.0,['Diego López'],['Giuseppe Rossi'],11.0
2009,7,3,24.0,10.0,4.0,2.0,4.0,20.0,14.0,6.0,14.0,8750.0,['Ángel López'],"['Giuseppe Rossi', 'Robert Pirès']",2.0
2008,7,2,6.0,10.0,3.0,5.0,2.0,13.0,13.0,0.0,14.0,24700.0,['Diego López'],['Joseba Llorente'],4.0
2007,7,3,24.0,8.0,6.0,1.0,1.0,15.0,6.0,9.0,19.0,8750.0,,['Jon Dahl Tomasson'],5.0
2005,7,2,3.5,14.0,5.0,7.0,2.0,12.0,9.0,3.0,22.0,22917.0,['Sebastián Viera'],['Diego Forlán'],3.0
2004,7,3,6.0,12.0,6.0,5.0,1.0,19.0,6.0,13.0,23.0,8750.0,,"['Antonio Guayre', 'Santi Cazorla']",4.0
2003,7,3,3.5,12.0,5.0,4.0,3.0,16.0,9.0,7.0,19.0,8750.0,,['Sonny Anderson'],6.0
2015,1,1,1.0,1.0,1.0,1.0,0.0,5.0,4.0,1.0,4.0,51940.0,['Marc-André ter Stegen'],['Lionel Messi'],2.0
2011,1,1,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,51940.0,,,
2009,1,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,51940.0,,,
2006,1,1,2.0,1.0,0.0,0.0,1.0,0.0,3.0,-3.0,0.0,51940.0,,,
2019,6,2,12.0,8.0,3.0,2.0,3.0,13.0,15.0,-2.0,11.0,31599.0,['Jasper Cillessen'],"['Rodrigo', 'Denis Cheryshev']",2.0
2018,6,3,3.5,8.0,5.0,1.0,2.0,14.0,10.0,4.0,16.0,35944.0,['Neto'],"['Kévin Gameiro', 'Gonçalo Guedes']",3.0
2018,6,2,48.0,6.0,2.0,2.0,2.0,6.0,6.0,0.0,8.0,39697.0,['Neto'],"['Santi Mina', 'Carlos Soler']",2.0
2015,6,3,12.0,4.0,3.0,0.0,1.0,12.0,2.0,10.0,9.0,26915.0,['Mathew Ryan'],['Santi Mina'],3.0
2015,6,2,48.0,8.0,3.0,0.0,5.0,9.0,12.0,-3.0,9.0,32902.0,['Jaume Doménech'],"['João Cancelo', 'Sofiane Feghouli']",1.0
2013,6,3,3.5,14.0,6.0,5.0,3.0,26.0,13.0,13.0,23.0,26400.0,['Vicente Guaita'],['Paco Alcácer'],7.0
2012,6,2,12.0,8.0,4.0,2.0,2.0,14.0,8.0,6.0,14.0,30679.0,['Vicente Guaita'],['Jonas'],5.0
2011,6,3,3.5,8.0,2.0,4.0,2.0,14.0,10.0,4.0,10.0,36250.0,['Diego Alves'],['Adil Rami'],3.0
2011,6,2,48.0,6.0,2.0,2.0,2.0,12.0,7.0,5.0,8.0,35308.0,['Diego Alves'],['Roberto Soldado'],5.0
2010,6,2,12.0,8.0,3.0,3.0,2.0,17.0,8.0,9.0,12.0,32412.0,['César Sánchez'],['Roberto Soldado'],6.0
2009,6,3,6.0,14.0,4.0,9.0,1.0,29.0,17.0,12.0,21.0,31833.0,['César Sánchez'],['David Villa'],6.0
2008,6,3,24.0,8.0,3.0,5.0,0.0,14.0,8.0,6.0,14.0,31833.0,,['Fernando Morientes'],3.0
2007,6,2,48.0,8.0,3.0,2.0,3.0,7.0,7.0,0.0,11.0,36500.0,['Santiago Cañizares'],['David Villa'],2.0
2006,6,2,6.0,12.0,5.0,4.0,3.0,19.0,12.0,7.0,19.0,41708.0,['Santiago Cañizares'],['Fernando Morientes'],6.0
2004,6,3,24.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,31833.0,,"['Pablo Aimar', 'Marco Di Vaio']",1.0
2004,6,2,48.0,6.0,2.0,1.0,3.0,6.0,10.0,-4.0,7.0,35945.0,['Santiago Cañizares'],['Vicente Rodríguez'],2.0
2003,6,3,1.0,13.0,10.0,2.0,1.0,20.0,5.0,15.0,32.0,31833.0,,['Mista'],5.0
2002,6,2,6.0,14.0,8.0,4.0,2.0,24.0,12.0,12.0,28.0,33909.0,['Santiago Cañizares'],['John Carew'],5.0
2001,6,3,6.0,10.0,5.0,3.0,2.0,20.0,7.0,13.0,18.0,31833.0,,['Juan Sánchez'],4.0
2000,6,2,1.5,19.0,10.0,8.0,2.0,27.0,10.0,17.0,38.0,44519.0,['Santiago Cañizares'],['Juan Sánchez'],5.0
1999,6,2,1.5,19.0,10.0,5.0,5.0,31.0,18.0,13.0,35.0,43430.0,['Santiago Cañizares'],"['Claudio López', 'Gaizka Mendieta']",5.0
1998,6,3,117.1875,4.0,2.0,2.0,0.0,9.0,5.0,4.0,8.0,31833.0,,['Claudio López'],3.0
1996,6,3,6.0,8.0,3.0,3.0,2.0,10.0,7.0,3.0,12.0,31833.0,,"['Claudio López', 'Goran Vlaović']",2.0
1993,6,3,117.1875,4.0,2.0,1.0,1.0,7.0,10.0,-3.0,7.0,31833.0,,['Lyuboslav Penev'],3.0
1992,6,3,75.0,2.0,0.0,0.0,2.0,1.0,6.0,-5.0,0.0,31833.0,,['Roberto Fernández Bonillo'],1.0
1990,6,3,117.1875,4.0,1.0,2.0,1.0,4.0,3.0,1.0,5.0,31833.0,,['Fernando Gómez Colomer'],2.0
2019,2,3,12.0,9.0,5.0,0.0,4.0,11.0,8.0,3.0,15.0,8857.0,['Leandro Chichizola'],"['Ángel Rodríguez', 'Jaime Mata']",3.0
2010,2,3,48.0,8.0,3.0,2.0,3.0,6.0,9.0,-3.0,11.0,1900.0,['Óscar Ustari'],['Pedro Ríos'],2.0
2007,2,3,6.0,12.0,7.0,3.0,2.0,21.0,14.0,7.0,24.0,1900.0,,"['Esteban Granero', 'Pablo Hernández']",4.0
2023,1,0,3.0,13.0,9.0,3.0,1.0,26.0,13.0,13.0,30.0,42219.0,['Marc-André ter Stegen'],['Robert Lewandowski'],7.0
2022,1,0,1.0,38.0,28.0,4.0,6.0,70.0,20.0,50.0,88.0,83498.0,['Marc-André ter Stegen'],['Robert Lewandowski'],23.0
