Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Attendance,Goalkeeper,Top Team Scorers,Top Team Goals
2008,5,0,3.0,38.0,21.0,7.0,10.0,54.0,39.0,15.0,70.0,41910.0,['Andrés Palop'],['Frédéric Kanouté'],18.0
2007,5,0,5.0,38.0,20.0,4.0,14.0,75.0,49.0,26.0,64.0,39456.0,['Andrés Palop'],['Luís Fabiano'],24.0
2006,5,0,3.0,38.0,21.0,8.0,9.0,64.0,35.0,29.0,71.0,36363.0,['Andrés Palop'],['Frédéric Kanouté'],21.0
2005,5,0,5.0,38.0,20.0,8.0,10.0,54.0,39.0,15.0,68.0,35697.0,['Andrés Palop'],['Javier Saviola'],9.0
2004,5,0,6.0,38.0,17.0,9.0,12.0,44.0,41.0,3.0,60.0,37105.0,['Esteban'],['Júlio Baptista'],18.0
2003,5,0,6.0,38.0,15.0,10.0,13.0,56.0,45.0,11.0,55.0,36079.0,['Esteban'],['Júlio Baptista'],20.0
2002,5,0,10.0,38.0,13.0,11.0,14.0,38.0,39.0,-1.0,50.0,32209.0,['Antonio Notario'],['José Antonio Reyes'],9.0
2001,5,0,8.0,38.0,14.0,11.0,13.0,51.0,40.0,11.0,53.0,33158.0,['Antonio Notario'],['Moisés'],13.0
1999,5,0,20.0,38.0,5.0,13.0,20.0,42.0,67.0,-25.0,28.0,19394.0,"['Frode Olsen', 'Juan José Valencia']",['Juan Carlos'],12.0
1996,5,0,20.0,42.0,12.0,7.0,23.0,50.0,69.0,-19.0,43.0,19394.0,,['Salva Ballesta'],13.0
1995,5,0,12.0,42.0,11.0,15.0,16.0,43.0,55.0,-12.0,48.0,19394.0,,['Davor Šuker'],16.0
1994,5,0,5.0,38.0,16.0,11.0,11.0,55.0,41.0,14.0,43.0,19394.0,,['Davor Šuker'],17.0
1993,5,0,6.0,38.0,15.0,12.0,11.0,56.0,42.0,14.0,42.0,19394.0,,['Davor Šuker'],24.0
1992,5,0,7.0,38.0,17.0,9.0,12.0,46.0,44.0,2.0,43.0,19394.0,,['Davor Šuker'],12.0
1991,5,0,12.0,38.0,13.0,8.0,17.0,48.0,45.0,3.0,34.0,19394.0,,['Iván Zamorano'],12.0
1990,5,0,8.0,38.0,15.0,8.0,15.0,45.0,47.0,-2.0,38.0,19394.0,,['Toni Polster'],13.0
1989,5,0,6.0,38.0,18.0,7.0,13.0,64.0,46.0,18.0,43.0,19394.0,,['Toni Polster'],33.0
1988,5,0,9.0,38.0,13.0,12.0,13.0,38.0,39.0,-1.0,38.0,19394.0,,['Ramón Vázquez García'],10.0
2023,5,1,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,['Yassine Bounou'],['Youssef En-Nesyri'],1.0
2020,5,1,2.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,,['Yassine Bounou'],['Lucas Ocampos'],1.0
2016,5,1,2.0,1.0,0.0,0.0,1.0,2.0,3.0,-1.0,0.0,,['Sergio Rico'],"['Franco Vázquez', 'Yevhen Konoplyanka']",1.0
2015,5,1,2.0,1.0,0.0,1.0,1.0,4.0,5.0,-1.0,1.0,,['Beto'],"['José Antonio Reyes', 'Éver Banega']",1.0
2014,5,1,2.0,1.0,0.0,0.0,1.0,0.0,2.0,-2.0,0.0,,['Beto'],,
2007,5,1,2.0,1.0,0.0,0.0,1.0,1.0,3.0,-2.0,0.0,,,,
2006,5,1,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,,,,
2023,6,5,75.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,45040.0,['Jaume Doménech'],"['Pablo Gozalbez', 'Diego López']",1.0
2022,6,5,6.0,3.0,2.0,0.0,1.0,8.0,3.0,5.0,6.0,45040.0,['Giorgi Mamardashvili'],"['Edinson Cavani', 'Justin Kluivert']",2.0
2021,6,5,1.5,8.0,6.0,2.0,0.0,14.0,5.0,9.0,20.0,15296.0,['Jaume Doménech'],['Hugo Duro'],3.0
2020,6,5,9.0,4.0,3.0,0.0,1.0,10.0,6.0,4.0,9.0,5818.0,['Cristian'],['Gonçalo Guedes'],2.0
2019,6,5,5.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,5818.0,['Jaume Doménech'],"['Rodrigo', 'Maxi Gómez']",1.0
2018,6,5,1.0,9.0,6.0,1.0,2.0,15.0,8.0,7.0,19.0,5818.0,['Jaume Doménech'],['Rodrigo'],5.0
2017,6,5,3.0,8.0,4.0,1.0,3.0,14.0,8.0,6.0,13.0,6967.0,['Jaume Doménech'],"['Luciano Vietto', 'Rodrigo']",3.0
2016,6,5,9.0,4.0,2.0,0.0,2.0,7.0,8.0,-1.0,6.0,28000.0,['Jaume Doménech'],['Rodrigo'],2.0
2015,6,5,3.0,8.0,5.0,2.0,1.0,15.0,10.0,5.0,17.0,3750.0,['Mathew Ryan'],['Álvaro Negredo'],5.0
2014,6,5,9.0,4.0,2.0,1.0,1.0,8.0,8.0,0.0,7.0,17500.0,['Yoel'],['Paco Alcácer'],3.0
2023,4,5,75.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,23408.0,['Unai Marrero'],['Carlos Fernández'],1.0
2022,4,5,6.0,5.0,4.0,0.0,1.0,11.0,2.0,9.0,12.0,23408.0,['Álex Remiro'],['Roberto Navarro'],4.0
2021,4,5,6.0,5.0,4.0,0.0,1.0,12.0,6.0,6.0,12.0,28719.0,['Mathew Ryan'],['Mikel Oyarzabal'],3.0
2020,4,5,9.0,2.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,29359.0,['Álex Remiro'],['Willian José'],2.0
2019,4,5,1.0,8.0,8.0,0.0,0.0,25.0,5.0,20.0,24.0,29359.0,['Álex Remiro'],['Alexander Isak'],5.0
2018,4,5,9.0,4.0,1.0,3.0,0.0,5.0,3.0,2.0,6.0,10545.0,"['Gerónimo Rulli', 'Miguel Ángel Moyá']","['Adnan Januzaj', 'Igor Zubeldia']",1.0
2017,4,5,17.0,2.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,8819.0,['Toño Ramírez'],"['Juanmi', 'Sergio Canales']",1.0
2016,4,5,5.0,6.0,2.0,2.0,2.0,10.0,10.0,0.0,8.0,19345.0,['Gerónimo Rulli'],['Juanmi'],4.0
2015,4,5,17.0,2.0,0.0,1.0,1.0,2.0,3.0,-1.0,1.0,14478.0,['Oier Olazábal'],"['Sergio Canales', 'Bruma']",1.0
2014,4,5,9.0,4.0,1.0,2.0,1.0,4.0,3.0,1.0,5.0,8500.0,['Gerónimo Rulli'],['Alfreð Finnbogason'],2.0
2018,0,1,1.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,3.0,,['Jan Oblak'],['Diego Costa'],2.0
2012,0,1,1.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,3.0,,,,
2010,0,1,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,,,,
2022,0,5,6.0,5.0,4.0,0.0,1.0,10.0,4.0,6.0,12.0,15707.0,['Jan Oblak'],"['Álvaro Morata', 'Yannick Carrasco']",2.0
2021,0,5,12.0,2.0,1.0,0.0,1.0,5.0,2.0,3.0,3.0,15707.0,['Jan Oblak'],"['Luis Suárez', 'Renan Lodi']",1.0
2020,0,5,33.0,2.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0,15707.0,"['San Román', 'Ivo Grbić']","['Šime Vrsaljko', 'Thomas Lemar']",1.0
2019,0,5,17.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,15707.0,['Antonio Adán'],['Ángel Correa'],1.0
2018,0,5,9.0,4.0,2.0,2.0,0.0,9.0,4.0,5.0,8.0,15707.0,['Antonio Adán'],"['Nikola Kalinić', 'Antoine Griezmann']",2.0
2017,0,5,5.0,6.0,3.0,1.0,2.0,13.0,6.0,7.0,10.0,9344.0,['Miguel Ángel Moyá'],['Fernando Torres'],3.0
2016,0,5,3.0,8.0,4.0,2.0,2.0,21.0,9.0,12.0,14.0,29446.0,['Miguel Ángel Moyá'],"['Antoine Griezmann', 'Ángel Correa']",4.0
2015,0,5,5.0,6.0,3.0,2.0,1.0,9.0,5.0,4.0,11.0,6000.0,['Miguel Ángel Moyá'],['Antoine Griezmann'],3.0
2014,0,5,5.0,6.0,2.0,2.0,2.0,11.0,8.0,3.0,8.0,17000.0,['Jan Oblak'],['Fernando Torres'],3.0
2023,4,0,6.0,13.0,6.0,4.0,3.0,23.0,16.0,7.0,22.0,32234.0,['Álex Remiro'],['Mikel Oyarzabal'],7.0
2022,4,0,4.0,38.0,21.0,8.0,9.0,51.0,35.0,16.0,71.0,32189.0,['Álex Remiro'],['Alexander Sørloth'],12.0
2021,4,0,6.0,38.0,17.0,11.0,10.0,40.0,37.0,3.0,62.0,26813.0,['Álex Remiro'],['Mikel Oyarzabal'],9.0
2020,4,0,5.0,38.0,17.0,11.0,10.0,59.0,38.0,21.0,62.0,21204.0,['Álex Remiro'],['Alexander Isak'],17.0
2019,4,0,6.0,38.0,16.0,8.0,14.0,56.0,48.0,8.0,56.0,21204.0,['Álex Remiro'],['Willian José'],11.0
2018,4,0,9.0,38.0,13.0,11.0,14.0,45.0,46.0,-1.0,50.0,22310.0,['Gerónimo Rulli'],['Mikel Oyarzabal'],13.0
2017,4,0,12.0,38.0,14.0,7.0,17.0,66.0,59.0,7.0,49.0,19793.0,['Gerónimo Rulli'],['Willian José'],15.0
2016,4,0,6.0,38.0,19.0,7.0,12.0,59.0,53.0,6.0,64.0,21473.0,['Gerónimo Rulli'],['Willian José'],12.0
2015,4,0,9.0,38.0,13.0,9.0,16.0,45.0,48.0,-3.0,48.0,20603.0,['Gerónimo Rulli'],['Imanol Agirretxe'],13.0
2014,4,0,12.0,38.0,11.0,13.0,14.0,44.0,51.0,-7.0,46.0,21867.0,['Gerónimo Rulli'],['Carlos Vela'],9.0
2013,4,0,7.0,38.0,16.0,11.0,11.0,62.0,55.0,7.0,59.0,23545.0,['Claudio Bravo'],"['Antoine Griezmann', 'Carlos Vela']",16.0
2012,4,0,4.0,38.0,18.0,12.0,8.0,70.0,49.0,21.0,66.0,21482.0,['Claudio Bravo'],['Carlos Vela'],14.0
2011,4,0,12.0,38.0,12.0,11.0,15.0,46.0,52.0,-6.0,47.0,24866.0,['Claudio Bravo'],['Carlos Vela'],12.0
2010,4,0,15.0,38.0,14.0,3.0,21.0,49.0,66.0,-17.0,45.0,25227.0,['Claudio Bravo'],"['Antoine Griezmann', 'Xabi Prieto']",7.0
2009,4,6,1.0,42.0,20.0,14.0,8.0,53.0,37.0,16.0,74.0,19927.0,['Claudio Bravo'],['Carlos Bueno'],12.0
2008,4,6,6.0,42.0,17.0,16.0,9.0,48.0,38.0,10.0,67.0,17083.0,['Claudio Bravo'],['Sebastián Abreu'],11.0
2007,4,6,4.0,42.0,18.0,14.0,10.0,55.0,39.0,16.0,68.0,20129.0,['Asier Riesgo'],['Iñigo Díaz de Cerio'],16.0
2006,4,0,19.0,38.0,8.0,11.0,19.0,32.0,47.0,-15.0,35.0,24481.0,['Claudio Bravo'],['Sávio'],5.0
2005,4,0,16.0,38.0,11.0,7.0,20.0,48.0,65.0,-17.0,40.0,22509.0,['Asier Riesgo'],['Xabi Prieto'],9.0
2004,4,0,14.0,38.0,13.0,8.0,17.0,47.0,56.0,-9.0,47.0,19717.0,['Asier Riesgo'],['Nihat Kahveci'],13.0
2003,4,0,15.0,38.0,11.0,13.0,14.0,49.0,53.0,-4.0,46.0,25564.0,['Sander Westerveld'],['Nihat Kahveci'],13.0
2002,4,0,2.0,38.0,22.0,10.0,6.0,71.0,45.0,26.0,76.0,27340.0,['Sander Westerveld'],['Nihat Kahveci'],23.0
2001,4,0,13.0,38.0,13.0,8.0,17.0,48.0,54.0,-6.0,47.0,24885.0,['Sander Westerveld'],['Darko Kovačević'],8.0
2000,4,0,13.0,38.0,11.0,10.0,17.0,52.0,68.0,-16.0,43.0,25000.0,['Alberto'],['Edgaras Jankauskas'],11.0
1999,4,0,13.0,38.0,11.0,14.0,13.0,42.0,49.0,-7.0,47.0,21666.0,['Alberto'],['Óscar de Paula'],9.0
1998,4,0,10.0,38.0,14.0,12.0,12.0,47.0,43.0,4.0,54.0,21666.0,,['Darko Kovačević'],16.0
1997,4,0,3.0,38.0,16.0,15.0,7.0,60.0,37.0,23.0,63.0,21666.0,,['Darko Kovačević'],17.0
1996,4,0,8.0,42.0,18.0,9.0,15.0,50.0,47.0,3.0,63.0,21666.0,,"['Gheorghe Craioveanu', 'Javier de Pedro']",8.0
1995,4,0,7.0,42.0,17.0,12.0,13.0,62.0,53.0,9.0,63.0,21666.0,,['Valeri Karpin'],13.0
1994,4,0,11.0,38.0,12.0,14.0,12.0,56.0,44.0,12.0,38.0,21666.0,,['Meho Kodro'],25.0
1993,4,0,11.0,38.0,12.0,12.0,14.0,39.0,47.0,-8.0,36.0,21666.0,,['Meho Kodro'],23.0
1992,4,0,13.0,38.0,13.0,8.0,17.0,46.0,59.0,-13.0,34.0,21666.0,,['Meho Kodro'],12.0
1991,4,0,5.0,38.0,16.0,12.0,10.0,44.0,38.0,6.0,44.0,21666.0,,['Meho Kodro'],13.0
1990,4,0,13.0,38.0,11.0,14.0,13.0,39.0,45.0,-6.0,36.0,21666.0,,['John Aldridge'],17.0
1989,4,0,5.0,38.0,15.0,14.0,9.0,43.0,35.0,8.0,44.0,21666.0,,['John Aldridge'],16.0
1988,4,0,11.0,38.0,11.0,14.0,13.0,38.0,47.0,-9.0,36.0,21666.0,,['Mikel Loinaz'],8.0
2023,0,0,4.0,12.0,9.0,1.0,2.0,29.0,12.0,17.0,28.0,58486.0,['Jan Oblak'],['Antoine Griezmann'],8.0
2022,0,0,3.0,38.0,23.0,8.0,7.0,70.0,33.0,37.0,77.0,55800.0,['Jan Oblak'],['Antoine Griezmann'],15.0
2021,0,0,3.0,38.0,21.0,8.0,9.0,65.0,43.0,22.0,71.0,48039.0,['Jan Oblak'],['Ángel Correa'],12.0
2020,0,0,1.0,38.0,26.0,8.0,4.0,67.0,25.0,42.0,86.0,42236.0,['Jan Oblak'],['Luis Suárez'],21.0
2019,0,0,3.0,38.0,18.0,16.0,4.0,51.0,27.0,24.0,70.0,42236.0,['Jan Oblak'],['Álvaro Morata'],12.0
2018,0,0,2.0,38.0,22.0,10.0,6.0,55.0,29.0,26.0,76.0,56216.0,['Jan Oblak'],['Antoine Griezmann'],15.0
2017,0,0,2.0,38.0,23.0,10.0,5.0,58.0,22.0,36.0,79.0,52707.0,['Jan Oblak'],['Antoine Griezmann'],19.0
2016,0,0,3.0,38.0,23.0,9.0,6.0,70.0,27.0,43.0,78.0,44737.0,['Jan Oblak'],['Antoine Griezmann'],16.0
2015,0,0,3.0,38.0,28.0,4.0,6.0,63.0,18.0,45.0,88.0,46902.0,['Jan Oblak'],['Antoine Griezmann'],22.0
2014,0,0,3.0,38.0,23.0,9.0,6.0,67.0,29.0,38.0,78.0,46532.0,['Miguel Ángel Moyá'],['Antoine Griezmann'],22.0
2013,0,0,1.0,38.0,28.0,6.0,4.0,77.0,26.0,51.0,90.0,46247.0,['Thibaut Courtois'],['Diego Costa'],27.0
2012,0,0,3.0,38.0,23.0,7.0,8.0,65.0,31.0,34.0,76.0,40868.0,['Thibaut Courtois'],['Radamel Falcao'],28.0
2011,0,0,5.0,38.0,15.0,11.0,12.0,53.0,46.0,7.0,56.0,45236.0,['Thibaut Courtois'],['Radamel Falcao'],24.0
2010,0,0,7.0,38.0,17.0,7.0,14.0,62.0,53.0,9.0,58.0,41526.0,['David de Gea'],['Sergio Agüero'],20.0
2009,0,0,9.0,38.0,13.0,8.0,17.0,57.0,61.0,-4.0,47.0,40324.0,['David de Gea'],['Diego Forlán'],18.0
2008,0,0,4.0,38.0,20.0,7.0,11.0,80.0,57.0,23.0,67.0,44082.0,['Leo Franco'],['Diego Forlán'],32.0
2007,0,0,4.0,38.0,19.0,7.0,12.0,66.0,47.0,19.0,64.0,44447.0,['Christian Abbiati'],['Sergio Agüero'],20.0
2006,0,0,7.0,38.0,17.0,9.0,12.0,46.0,39.0,7.0,60.0,41425.0,['Leo Franco'],['Fernando Torres'],15.0
2005,0,0,10.0,38.0,13.0,13.0,12.0,45.0,37.0,8.0,52.0,32526.0,['Leo Franco'],['Fernando Torres'],13.0
2004,0,0,11.0,38.0,13.0,11.0,14.0,40.0,34.0,6.0,50.0,37008.0,['Leo Franco'],['Fernando Torres'],16.0
2003,0,0,7.0,38.0,15.0,10.0,13.0,51.0,53.0,-2.0,55.0,44926.0,['Sergio Aragoneses'],['Fernando Torres'],19.0
2002,0,0,12.0,38.0,12.0,11.0,15.0,51.0,56.0,-5.0,47.0,47261.0,['Esteban'],['Fernando Torres'],13.0
2001,0,6,1.0,42.0,23.0,10.0,9.0,68.0,44.0,24.0,79.0,41905.0,['Germán Burgos'],['Diego Alonso'],22.0
1999,0,0,19.0,38.0,9.0,11.0,18.0,48.0,64.0,-16.0,38.0,36245.0,['José Molina'],['Jimmy Floyd Hasselbaink'],24.0
1998,0,0,13.0,38.0,12.0,10.0,16.0,54.0,50.0,4.0,46.0,36245.0,,['José Mari'],9.0
1997,0,0,7.0,38.0,16.0,12.0,10.0,79.0,56.0,23.0,60.0,36245.0,,['Christian Vieri'],24.0
1996,0,0,5.0,42.0,20.0,11.0,11.0,76.0,64.0,12.0,71.0,36245.0,,['Juan Esnáider'],16.0
1995,0,0,1.0,42.0,26.0,9.0,7.0,75.0,32.0,43.0,87.0,36245.0,,['Lyuboslav Penev'],16.0
1994,0,0,14.0,38.0,13.0,9.0,16.0,56.0,54.0,2.0,35.0,36245.0,,"['José Luis Caminero', 'Kiko']",9.0
1993,0,0,12.0,38.0,13.0,9.0,16.0,54.0,54.0,0.0,35.0,36245.0,,['Luis García Postigo'],11.0
1992,0,0,6.0,38.0,16.0,11.0,11.0,52.0,42.0,10.0,43.0,36245.0,,['Luis García Postigo'],17.0
1991,0,0,3.0,38.0,24.0,5.0,9.0,67.0,35.0,32.0,53.0,36245.0,,['Manolo'],27.0
1990,0,0,2.0,38.0,17.0,13.0,8.0,52.0,28.0,24.0,47.0,36245.0,,['Manolo'],16.0
1989,0,0,4.0,38.0,20.0,10.0,8.0,55.0,35.0,20.0,50.0,36245.0,,['Baltazar Maria de Morais Júnior'],18.0
1988,0,0,4.0,38.0,19.0,8.0,11.0,69.0,45.0,24.0,46.0,36245.0,,['Baltazar Maria de Morais Júnior'],35.0
2023,0,2,48.0,4.0,2.0,2.0,0.0,12.0,5.0,7.0,8.0,61303.0,['Jan Oblak'],['Álvaro Morata'],5.0
2022,0,2,48.0,6.0,1.0,2.0,3.0,5.0,9.0,-4.0,5.0,58797.0,['Jan Oblak'],"['Antoine Griezmann', 'Yannick Carrasco']",1.0
2021,0,2,6.0,10.0,3.0,3.0,4.0,9.0,10.0,-1.0,12.0,58158.0,['Jan Oblak'],['Antoine Griezmann'],4.0
2020,0,2,12.0,8.0,2.0,3.0,3.0,7.0,11.0,-4.0,9.0,62232.0,['Jan Oblak'],['João Félix'],3.0
2019,0,2,6.0,9.0,5.0,1.0,3.0,13.0,9.0,4.0,16.0,62232.0,['Jan Oblak'],"['Álvaro Morata', 'João Félix']",3.0
2018,0,2,12.0,8.0,5.0,1.0,2.0,11.0,9.0,2.0,16.0,60068.0,['Jan Oblak'],['Antoine Griezmann'],4.0
2017,0,3,1.0,9.0,7.0,1.0,1.0,20.0,4.0,16.0,22.0,67433.0,['Jan Oblak'],['Antoine Griezmann'],6.0
2017,0,2,48.0,6.0,1.0,4.0,1.0,5.0,4.0,1.0,7.0,57596.0,['Jan Oblak'],['Antoine Griezmann'],2.0
2016,0,2,3.5,12.0,9.0,1.0,2.0,18.0,10.0,8.0,28.0,46751.0,['Jan Oblak'],['Antoine Griezmann'],6.0
2015,0,2,1.5,13.0,6.0,4.0,3.0,17.0,8.0,9.0,22.0,44276.0,['Jan Oblak'],['Antoine Griezmann'],7.0
2014,0,2,6.0,10.0,5.0,2.0,3.0,15.0,5.0,10.0,17.0,43954.0,['Miguel Ángel Moyá'],['Mario Mandžukić'],5.0
2013,0,2,1.5,13.0,7.0,5.0,1.0,26.0,10.0,16.0,26.0,43994.0,['Thibaut Courtois'],['Diego Costa'],8.0
